"Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","delta","p","p_rgh","psi"
0,0,0,1,0.5,0,1,0,0,0,0.05625
0.025,0,0,1,0.5,0,1,0,2.7668e-11,2.7668e-11,0.05625
0.05,0,0,1,0.5,0,1,0,7.1642e-11,7.1642e-11,0.05625
0.075,0,0,1,0.5,0,1,0,9.9716e-11,9.9716e-11,0.05625
0.1,0,0,1,0.5,0,1,0,1.2055e-10,1.2055e-10,0.05625
0.125,0,0,1,0.5,0,1,0,1.3767e-10,1.3767e-10,0.05625
0.15,0,0,1,0.5,0,1,0,1.517e-10,1.517e-10,0.05625
0.175,0,0,1,0.5,0,1,0,1.638e-10,1.638e-10,0.05625
0.2,0,0,1,0.5,0,1,0,1.7503e-10,1.7503e-10,0.05625
0.225,0,0,1,0.5,0,1,0,1.8381e-10,1.8381e-10,0.05625
0.25,0,0,1,0.5,0,1,0,1.9167e-10,1.9167e-10,0.05625
0.275,0,0,1,0.5,0,1,0,1.992e-10,1.992e-10,0.05625
0.3,0,0,1,0.5,0,1,0,2.0529e-10,2.0529e-10,0.05625
0.325,0,0,1,0.5,0,1,0,2.1223e-10,2.1223e-10,0.05625
0.35,0,0,1,0.5,0,1,0,2.1945e-10,2.1945e-10,0.05625
0.375,0,0,1,0.5,0,1,0,2.2556e-10,2.2556e-10,0.05625
0.4,0,0,1,0.5,0,1,0,2.3181e-10,2.3181e-10,0.05625
0.425,0,0,1,0.5,0,1,0,2.3816e-10,2.3816e-10,0.05625
0.45,0,0,1,0.5,0,1,0,2.4408e-10,2.4408e-10,0.05625
0.475,0,0,1,0.5,0,1,0,2.4922e-10,2.4922e-10,0.05625
0.5,0,0,1,0.5,0,1,0,2.5393e-10,2.5393e-10,0.05625
0.525,0,0,1,0.5,0,1,0,2.591e-10,2.591e-10,0.05625
0.55,0,0,1,0.5,0,1,0,2.6359e-10,2.6359e-10,0.05625
0.575,0,0,1,0.5,0,1,0,2.6711e-10,2.6711e-10,0.05625
0.6,0,0,1,0.5,0,1,0,2.7075e-10,2.7075e-10,0.05625
0.625,0,0,1,0.5,0,1,0,2.7431e-10,2.7431e-10,0.05625
0.65,0,0,1,0.5,0,1,0,2.7835e-10,2.7835e-10,0.05625
0.675,0,0,1,0.5,0,1,0,2.8348e-10,2.8348e-10,0.05625
0.7,0,0,1,0.5,0,1,0,2.879e-10,2.879e-10,0.05625
0.725,0,0,1,0.5,0,1,0,2.9208e-10,2.9208e-10,0.05625
0.75,0,0,1,0.5,0,1,0,2.9625e-10,2.9625e-10,0.05625
0.775,0,0,1,0.5,0,1,0,2.9946e-10,2.9946e-10,0.05625
0.8,0,0,1,0.5,0,1,0,3.0402e-10,3.0402e-10,0.05625
0.825,0,0,1,0.5,0,1,0,3.0939e-10,3.0939e-10,0.05625
0.85,0,0,1,0.5,0,1,0,3.1357e-10,3.1357e-10,0.05625
0.875,0,0,1,0.5,0,1,0,3.1682e-10,3.1682e-10,0.05625
0.9,0,0,1,0.5,0,1,0,3.2087e-10,3.2087e-10,0.05625
0.925,0,0,1,0.5,0,1,0,3.2483e-10,3.2483e-10,0.05625
0.95,0,0,1,0.5,0,1,0,3.2815e-10,3.2815e-10,0.05625
0.975,0,0,1,0.5,0,1,0,3.3148e-10,3.3148e-10,0.05625
1,0,0,1,0.5,0,1,0,3.3435e-10,3.3435e-10,0.05625
1.025,0,0,1,0.5,0,1,0,3.3706e-10,3.3706e-10,0.05625
1.05,0,0,1,0.5,0,1,0,3.3995e-10,3.3995e-10,0.05625
1.075,0,0,1,0.5,0,1,0,3.4319e-10,3.4319e-10,0.05625
1.1,0,0,1,0.5,0,1,0,3.4613e-10,3.4613e-10,0.05625
1.125,0,0,1,0.5,0,1,0,3.5022e-10,3.5022e-10,0.05625
1.15,0,0,1,0.5,0,1,0,3.545e-10,3.545e-10,0.05625
1.175,0,0,1,0.5,0,1,0,3.5722e-10,3.5722e-10,0.05625
1.2,0,0,1,0.5,0,1,0,3.6103e-10,3.6103e-10,0.05625
1.225,0,0,1,0.5,0,1,0,3.6658e-10,3.6658e-10,0.05625
1.25,0,0,1,0.5,0,1,0,3.7197e-10,3.7197e-10,0.05625
1.275,0,0,1,0.5,0,1,0,3.7564e-10,3.7564e-10,0.05625
1.3,0,0,1,0.5,0,1,0,3.7845e-10,3.7845e-10,0.05625
1.325,0,0,1,0.5,0,1,0,3.8107e-10,3.8107e-10,0.05625
1.35,0,0,1,0.5,0,1,0,3.8462e-10,3.8462e-10,0.05625
1.375,0,0,1,0.5,0,1,0,3.8923e-10,3.8923e-10,0.05625
1.4,0,0,1,0.5,0,1,0,3.9261e-10,3.9261e-10,0.05625
1.425,0,0,1,0.5,0,1,0,3.9544e-10,3.9544e-10,0.05625
1.45,0,0,1,0.5,0,1,0,3.9851e-10,3.9851e-10,0.05625
1.475,0,0,1,0.5,0,1,0,4.0165e-10,4.0165e-10,0.05625
1.5,0,0,1,0.5,0,1,0,4.0574e-10,4.0574e-10,0.05625
1.525,0,0,1,0.5,0,1,0,4.0943e-10,4.0943e-10,0.05625
1.55,0,0,1,0.5,0,1,0,4.1236e-10,4.1236e-10,0.05625
1.575,0,0,1,0.5,0,1,0,4.1569e-10,4.1569e-10,0.05625
1.6,0,0,1,0.5,0,1,0,4.1932e-10,4.1932e-10,0.05625
1.625,0,0,1,0.5,0,1,0,4.2273e-10,4.2273e-10,0.05625
1.65,0,0,1,0.5,0,1,0,4.2607e-10,4.2607e-10,0.05625
1.675,0,0,1,0.5,0,1,0,4.2923e-10,4.2923e-10,0.05625
1.7,0,0,1,0.5,0,1,0,4.3159e-10,4.3159e-10,0.05625
1.725,0,0,1,0.5,0,1,0,4.3341e-10,4.3341e-10,0.05625
1.75,0,0,1,0.5,0,1,0,4.3498e-10,4.3498e-10,0.05625
1.775,0,0,1,0.5,0,1,0,4.376e-10,4.376e-10,0.05625
1.8,0,0,1,0.5,0,1,0,4.4076e-10,4.4076e-10,0.05625
1.825,0,0,1,0.5,0,1,0,4.4403e-10,4.4403e-10,0.05625
1.85,0,0,1,0.5,0,1,0,4.4748e-10,4.4748e-10,0.05625
1.875,0,0,1,0.5,0,1,0,4.4991e-10,4.4991e-10,0.05625
1.9,0,0,1,0.5,0,1,0,4.5152e-10,4.5152e-10,0.05625
1.925,0,0,1,0.5,0,1,0,4.5309e-10,4.5309e-10,0.05625
1.95,0,0,1,0.5,0,1,0,4.5521e-10,4.5521e-10,0.05625
1.975,0,0,1,0.5,0,1,0,4.5754e-10,4.5754e-10,0.05625
2,0,0,1,0.5,0,1,0,4.5979e-10,4.5979e-10,0.05625
2.025,0,0,1,0.5,0,1,0,4.629e-10,4.629e-10,0.05625
2.05,0,0,1,0.5,0,1,0,4.66e-10,4.66e-10,0.05625
2.075,0,0,1,0.5,0,1,0,4.685e-10,4.685e-10,0.05625
2.1,0,0,1,0.5,0,1,0,4.7041e-10,4.7041e-10,0.05625
2.125,0,0,1,0.5,0,1,0,4.7163e-10,4.7163e-10,0.05625
2.15,0,0,1,0.5,0,1,0,4.7378e-10,4.7378e-10,0.05625
2.175,0,0,1,0.5,0,1,0,4.7589e-10,4.7589e-10,0.05625
2.2,0,0,1,0.5,0,1,0,4.7753e-10,4.7753e-10,0.05625
2.225,0,0,1,0.5,0,1,0,4.797e-10,4.797e-10,0.05625
2.25,0,0,1,0.5,0,1,0,4.8226e-10,4.8226e-10,0.05625
2.275,0,0,1,0.5,0,1,0,4.8492e-10,4.8492e-10,0.05625
2.3,0,0,1,0.5,0,1,0,4.8664e-10,4.8664e-10,0.05625
2.325,0,0,1,0.5,0,1,0,4.8773e-10,4.8773e-10,0.05625
2.35,0,0,1,0.5,0,1,0,4.8997e-10,4.8997e-10,0.05625
2.375,0,0,1,0.5,0,1,0,4.9429e-10,4.9429e-10,0.05625
2.4,0,0,1,0.5,0,1,0,4.9825e-10,4.9825e-10,0.05625
2.425,0,0,1,0.5,0,1,0,5.0077e-10,5.0077e-10,0.05625
2.45,0,0,1,0.5,0,1,0,5.0381e-10,5.0381e-10,0.05625
2.475,0,0,1,0.5,0,1,0,5.0618e-10,5.0618e-10,0.05625
2.5,0,0,1,0.5,0,1,0,5.0668e-10,5.0668e-10,0.05625
2.525,0,0,1,0.5,0,1,0,5.0879e-10,5.0879e-10,0.05625
2.55,0,0,1,0.5,0,1,0,5.1362e-10,5.1362e-10,0.05625
2.575,0,0,1,0.5,0,1,0,5.1792e-10,5.1792e-10,0.05625
2.6,0,0,1,0.5,0,1,0,5.2145e-10,5.2145e-10,0.05625
2.625,0,0,1,0.5,0,1,0,5.2422e-10,5.2422e-10,0.05625
2.65,0,0,1,0.5,0,1,0,5.2586e-10,5.2586e-10,0.05625
2.675,0,0,1,0.5,0,1,0,5.2753e-10,5.2753e-10,0.05625
2.7,0,0,1,0.5,0,1,0,5.2874e-10,5.2874e-10,0.05625
2.725,0,0,1,0.5,0,1,0,5.2968e-10,5.2968e-10,0.05625
2.75,0,0,1,0.5,0,1,0,5.317e-10,5.317e-10,0.05625
2.775,0,0,1,0.5,0,1,0,5.3358e-10,5.3358e-10,0.05625
2.8,0,0,1,0.5,0,1,0,5.3458e-10,5.3458e-10,0.05625
2.825,0,0,1,0.5,0,1,0,5.3621e-10,5.3621e-10,0.05625
2.85,0,0,1,0.5,0,1,0,5.3769e-10,5.3769e-10,0.05625
2.875,0,0,1,0.5,0,1,0,5.3826e-10,5.3826e-10,0.05625
2.9,0,0,1,0.5,0,1,0,5.4021e-10,5.4021e-10,0.05625
2.925,0,0,1,0.5,0,1,0,5.4464e-10,5.4464e-10,0.05625
2.95,0,0,1,0.5,0,1,0,5.4807e-10,5.4807e-10,0.05625
2.975,0,0,1,0.5,0,1,0,5.4901e-10,5.4901e-10,0.05625
3,0,0,1,0.5,0,1,0,5.506e-10,5.506e-10,0.05625
3.025,0,0,1,0.5,0,1,0,5.5375e-10,5.5375e-10,0.05625
3.05,0,0,1,0.5,0,1,0,5.5705e-10,5.5705e-10,0.05625
3.075,0,0,1,0.5,0,1,0,5.5933e-10,5.5933e-10,0.05625
3.1,0,0,1,0.5,0,1,0,5.6015e-10,5.6015e-10,0.05625
3.125,0,0,1,0.5,0,1,0,5.6111e-10,5.6111e-10,0.05625
3.15,0,0,1,0.5,0,1,0,5.6337e-10,5.6337e-10,0.05625
3.175,0,0,1,0.5,0,1,0,5.651e-10,5.651e-10,0.05625
3.2,0,0,1,0.5,0,1,0,5.6595e-10,5.6595e-10,0.05625
3.225,0,0,1,0.5,0,1,0,5.6824e-10,5.6824e-10,0.05625
3.25,0,0,1,0.5,0,1,0,5.7198e-10,5.7198e-10,0.05625
3.275,0,0,1,0.5,0,1,0,5.7533e-10,5.7533e-10,0.05625
3.3,0,0,1,0.5,0,1,0,5.7706e-10,5.7706e-10,0.05625
3.325,0,0,1,0.5,0,1,0,5.7809e-10,5.7809e-10,0.05625
3.35,0,0,1,0.5,0,1,0,5.7965e-10,5.7965e-10,0.05625
3.375,0,0,1,0.5,0,1,0,5.8183e-10,5.8183e-10,0.05625
3.4,0,0,1,0.5,0,1,0,5.8506e-10,5.8506e-10,0.05625
3.425,0,0,1,0.5,0,1,0,5.8776e-10,5.8776e-10,0.05625
3.45,0,0,1,0.5,0,1,0,5.896e-10,5.896e-10,0.05625
3.475,0,0,1,0.5,0,1,0,5.9168e-10,5.9168e-10,0.05625
3.5,0,0,1,0.5,0,1,0,5.9411e-10,5.9411e-10,0.05625
3.525,0,0,1,0.5,0,1,0,5.9651e-10,5.9651e-10,0.05625
3.55,0,0,1,0.5,0,1,0,5.9875e-10,5.9875e-10,0.05625
3.575,0,0,1,0.5,0,1,0,6.0137e-10,6.0137e-10,0.05625
3.6,0,0,1,0.5,0,1,0,6.0388e-10,6.0388e-10,0.05625
3.625,0,0,1,0.5,0,1,0,6.0632e-10,6.0632e-10,0.05625
3.65,0,0,1,0.5,0,1,0,6.0864e-10,6.0864e-10,0.05625
3.675,0,0,1,0.5,0,1,0,6.1049e-10,6.1049e-10,0.05625
3.7,0,0,1,0.5,0,1,0,6.1224e-10,6.1224e-10,0.05625
3.725,0,0,1,0.5,0,1,0,6.1378e-10,6.1378e-10,0.05625
3.75,0,0,1,0.5,0,1,0,6.1522e-10,6.1522e-10,0.05625
3.775,0,0,1,0.5,0,1,0,6.1704e-10,6.1704e-10,0.05625
3.8,0,0,1,0.5,0,1,0,6.2026e-10,6.2026e-10,0.05625
3.825,0,0,1,0.5,0,1,0,6.2349e-10,6.2349e-10,0.05625
3.85,0,0,1,0.5,0,1,0,6.2561e-10,6.2561e-10,0.05625
3.875,0,0,1,0.5,0,1,0,6.2794e-10,6.2794e-10,0.05625
3.9,0,0,1,0.5,0,1,0,6.3033e-10,6.3033e-10,0.05625
3.925,0,0,1,0.5,0,1,0,6.3252e-10,6.3252e-10,0.05625
3.95,0,0,1,0.5,0,1,0,6.3362e-10,6.3362e-10,0.05625
3.975,0,0,1,0.5,0,1,0,6.3472e-10,6.3472e-10,0.05625
4,0,0,1,0.5,0,1,0,6.3702e-10,6.3702e-10,0.05625
4.025,0,0,1,0.5,0,1,0,6.3977e-10,6.3977e-10,0.05625
4.05,0,0,1,0.5,0,1,0,6.4194e-10,6.4194e-10,0.05625
4.075,0,0,1,0.5,0,1,0,6.4334e-10,6.4334e-10,0.05625
4.1,0,0,1,0.5,0,1,0,6.4485e-10,6.4485e-10,0.05625
4.125,0,0,1,0.5,0,1,0,6.465e-10,6.465e-10,0.05625
4.15,0,0,1,0.5,0,1,0,6.4857e-10,6.4857e-10,0.05625
4.175,0,0,1,0.5,0,1,0,6.5017e-10,6.5017e-10,0.05625
4.2,0,0,1,0.5,0,1,0,6.516e-10,6.516e-10,0.05625
4.225,0,0,1,0.5,0,1,0,6.53e-10,6.53e-10,0.05625
4.25,0,0,1,0.5,0,1,0,6.5428e-10,6.5428e-10,0.05625
4.275,0,0,1,0.5,0,1,0,6.5593e-10,6.5593e-10,0.05625
4.3,0,0,1,0.5,0,1,0,6.5778e-10,6.5778e-10,0.05625
4.325,0,0,1,0.5,0,1,0,6.6026e-10,6.6026e-10,0.05625
4.35,0,0,1,0.5,0,1,0,6.6214e-10,6.6214e-10,0.05625
4.375,0,0,1,0.5,0,1,0,6.6401e-10,6.6401e-10,0.05625
4.4,0,0,1,0.5,0,1,0,6.6597e-10,6.6597e-10,0.05625
4.425,0,0,1,0.5,0,1,0,6.6697e-10,6.6697e-10,0.05625
4.45,0,0,1,0.5,0,1,0,6.677e-10,6.677e-10,0.05625
4.475,0,0,1,0.5,0,1,0,6.6859e-10,6.6859e-10,0.05625
4.5,0,0,1,0.5,0,1,0,6.697e-10,6.697e-10,0.05625
4.525,0,0,1,0.5,0,1,0,6.706e-10,6.706e-10,0.05625
4.55,0,0,1,0.5,0,1,0,6.7159e-10,6.7159e-10,0.05625
4.575,0,0,1,0.5,0,1,0,6.7276e-10,6.7276e-10,0.05625
4.6,0,0,1,0.5,0,1,0,6.741e-10,6.741e-10,0.05625
4.625,0,0,1,0.5,0,1,0,6.7543e-10,6.7543e-10,0.05625
4.65,0,0,1,0.5,0,1,0,6.7583e-10,6.7583e-10,0.05625
4.675,0,0,1,0.5,0,1,0,6.7624e-10,6.7624e-10,0.05625
4.7,0,0,1,0.5,0,1,0,6.7737e-10,6.7737e-10,0.05625
4.725,0,0,1,0.5,0,1,0,6.787e-10,6.787e-10,0.05625
4.75,0,0,1,0.5,0,1,0,6.7989e-10,6.7989e-10,0.05625
4.775,0,0,1,0.5,0,1,0,6.8083e-10,6.8083e-10,0.05625
4.8,0,0,1,0.5,0,1,0,6.8192e-10,6.8192e-10,0.05625
4.825,0,0,1,0.5,0,1,0,6.8229e-10,6.8229e-10,0.05625
4.85,0,0,1,0.5,0,1,0,6.8229e-10,6.8229e-10,0.05625
4.875,0,0,1,0.5,0,1,0,6.8258e-10,6.8258e-10,0.05625
4.9,0,0,1,0.5,0,1,0,6.8341e-10,6.8341e-10,0.05625
4.925,0,0,1,0.5,0,1,0,6.8416e-10,6.8416e-10,0.05625
4.95,0,0,1,0.5,0,1,0,6.8499e-10,6.8499e-10,0.05625
4.975,0,0,1,0.5,0,1,0,6.8667e-10,6.8667e-10,0.05625
5,0,0,1,0.5,0,1,0,6.8761e-10,6.8761e-10,0.05625
0,0.025,0,1,0.5,0,1,0,2.7758e-11,2.7758e-11,0.05625
0.025,0.025,0,1,0.5,0,1,0,4.7033e-11,4.7033e-11,0.05625
0.05,0.025,0,1,0.5,0,1,0,7.9786e-11,7.9786e-11,0.05625
0.075,0.025,0,1,0.5,0,1,0,1.0392e-10,1.0392e-10,0.05625
0.1,0.025,0,1,0.5,0,1,0,1.2318e-10,1.2318e-10,0.05625
0.125,0.025,0,1,0.5,0,1,0,1.3941e-10,1.3941e-10,0.05625
0.15,0.025,0,1,0.5,0,1,0,1.5286e-10,1.5286e-10,0.05625
0.175,0.025,0,1,0.5,0,1,0,1.6443e-10,1.6443e-10,0.05625
0.2,0.025,0,1,0.5,0,1,0,1.7548e-10,1.7548e-10,0.05625
0.225,0.025,0,1,0.5,0,1,0,1.8447e-10,1.8447e-10,0.05625
0.25,0.025,0,1,0.5,0,1,0,1.9222e-10,1.9222e-10,0.05625
0.275,0.025,0,1,0.5,0,1,0,1.9953e-10,1.9953e-10,0.05625
0.3,0.025,0,1,0.5,0,1,0,2.0584e-10,2.0584e-10,0.05625
0.325,0.025,0,1,0.5,0,1,0,2.1268e-10,2.1268e-10,0.05625
0.35,0.025,0,1,0.5,0,1,0,2.1961e-10,2.1961e-10,0.05625
0.375,0.025,0,1,0.5,0,1,0,2.2608e-10,2.2608e-10,0.05625
0.4,0.025,0,1,0.5,0,1,0,2.3195e-10,2.3195e-10,0.05625
0.425,0.025,0,1,0.5,0,1,0,2.3799e-10,2.3799e-10,0.05625
0.45,0.025,0,1,0.5,0,1,0,2.4447e-10,2.4447e-10,0.05625
0.475,0.025,0,1,0.5,0,1,0,2.5002e-10,2.5002e-10,0.05625
0.5,0.025,0,1,0.5,0,1,0,2.5468e-10,2.5468e-10,0.05625
0.525,0.025,0,1,0.5,0,1,0,2.5943e-10,2.5943e-10,0.05625
0.55,0.025,0,1,0.5,0,1,0,2.6368e-10,2.6368e-10,0.05625
0.575,0.025,0,1,0.5,0,1,0,2.6724e-10,2.6724e-10,0.05625
0.6,0.025,0,1,0.5,0,1,0,2.7099e-10,2.7099e-10,0.05625
0.625,0.025,0,1,0.5,0,1,0,2.7484e-10,2.7484e-10,0.05625
0.65,0.025,0,1,0.5,0,1,0,2.7897e-10,2.7897e-10,0.05625
0.675,0.025,0,1,0.5,0,1,0,2.8384e-10,2.8384e-10,0.05625
0.7,0.025,0,1,0.5,0,1,0,2.8822e-10,2.8822e-10,0.05625
0.725,0.025,0,1,0.5,0,1,0,2.9228e-10,2.9228e-10,0.05625
0.75,0.025,0,1,0.5,0,1,0,2.9614e-10,2.9614e-10,0.05625
0.775,0.025,0,1,0.5,0,1,0,2.9957e-10,2.9957e-10,0.05625
0.8,0.025,0,1,0.5,0,1,0,3.042e-10,3.042e-10,0.05625
0.825,0.025,0,1,0.5,0,1,0,3.094e-10,3.094e-10,0.05625
0.85,0.025,0,1,0.5,0,1,0,3.1384e-10,3.1384e-10,0.05625
0.875,0.025,0,1,0.5,0,1,0,3.1739e-10,3.1739e-10,0.05625
0.9,0.025,0,1,0.5,0,1,0,3.2131e-10,3.2131e-10,0.05625
0.925,0.025,0,1,0.5,0,1,0,3.2514e-10,3.2514e-10,0.05625
0.95,0.025,0,1,0.5,0,1,0,3.2816e-10,3.2816e-10,0.05625
0.975,0.025,0,1,0.5,0,1,0,3.3152e-10,3.3152e-10,0.05625
1,0.025,0,1,0.5,0,1,0,3.3443e-10,3.3443e-10,0.05625
1.025,0.025,0,1,0.5,0,1,0,3.3676e-10,3.3676e-10,0.05625
1.05,0.025,0,1,0.5,0,1,0,3.4017e-10,3.4017e-10,0.05625
1.075,0.025,0,1,0.5,0,1,0,3.4393e-10,3.4393e-10,0.05625
1.1,0.025,0,1,0.5,0,1,0,3.4672e-10,3.4672e-10,0.05625
1.125,0.025,0,1,0.5,0,1,0,3.5032e-10,3.5032e-10,0.05625
1.15,0.025,0,1,0.5,0,1,0,3.5451e-10,3.5451e-10,0.05625
1.175,0.025,0,1,0.5,0,1,0,3.5765e-10,3.5765e-10,0.05625
1.2,0.025,0,1,0.5,0,1,0,3.6152e-10,3.6152e-10,0.05625
1.225,0.025,0,1,0.5,0,1,0,3.6667e-10,3.6667e-10,0.05625
1.25,0.025,0,1,0.5,0,1,0,3.7185e-10,3.7185e-10,0.05625
1.275,0.025,0,1,0.5,0,1,0,3.7567e-10,3.7567e-10,0.05625
1.3,0.025,0,1,0.5,0,1,0,3.7856e-10,3.7856e-10,0.05625
1.325,0.025,0,1,0.5,0,1,0,3.8138e-10,3.8138e-10,0.05625
1.35,0.025,0,1,0.5,0,1,0,3.8507e-10,3.8507e-10,0.05625
1.375,0.025,0,1,0.5,0,1,0,3.8925e-10,3.8925e-10,0.05625
1.4,0.025,0,1,0.5,0,1,0,3.925e-10,3.925e-10,0.05625
1.425,0.025,0,1,0.5,0,1,0,3.9571e-10,3.9571e-10,0.05625
1.45,0.025,0,1,0.5,0,1,0,3.9887e-10,3.9887e-10,0.05625
1.475,0.025,0,1,0.5,0,1,0,4.0176e-10,4.0176e-10,0.05625
1.5,0.025,0,1,0.5,0,1,0,4.0574e-10,4.0574e-10,0.05625
1.525,0.025,0,1,0.5,0,1,0,4.0942e-10,4.0942e-10,0.05625
1.55,0.025,0,1,0.5,0,1,0,4.1236e-10,4.1236e-10,0.05625
1.575,0.025,0,1,0.5,0,1,0,4.1592e-10,4.1592e-10,0.05625
1.6,0.025,0,1,0.5,0,1,0,4.1963e-10,4.1963e-10,0.05625
1.625,0.025,0,1,0.5,0,1,0,4.2315e-10,4.2315e-10,0.05625
1.65,0.025,0,1,0.5,0,1,0,4.2655e-10,4.2655e-10,0.05625
1.675,0.025,0,1,0.5,0,1,0,4.2944e-10,4.2944e-10,0.05625
1.7,0.025,0,1,0.5,0,1,0,4.3206e-10,4.3206e-10,0.05625
1.725,0.025,0,1,0.5,0,1,0,4.3392e-10,4.3392e-10,0.05625
1.75,0.025,0,1,0.5,0,1,0,4.3525e-10,4.3525e-10,0.05625
1.775,0.025,0,1,0.5,0,1,0,4.379e-10,4.379e-10,0.05625
1.8,0.025,0,1,0.5,0,1,0,4.409e-10,4.409e-10,0.05625
1.825,0.025,0,1,0.5,0,1,0,4.4375e-10,4.4375e-10,0.05625
1.85,0.025,0,1,0.5,0,1,0,4.4701e-10,4.4701e-10,0.05625
1.875,0.025,0,1,0.5,0,1,0,4.4973e-10,4.4973e-10,0.05625
1.9,0.025,0,1,0.5,0,1,0,4.5173e-10,4.5173e-10,0.05625
1.925,0.025,0,1,0.5,0,1,0,4.536e-10,4.536e-10,0.05625
1.95,0.025,0,1,0.5,0,1,0,4.5589e-10,4.5589e-10,0.05625
1.975,0.025,0,1,0.5,0,1,0,4.5817e-10,4.5817e-10,0.05625
2,0.025,0,1,0.5,0,1,0,4.6034e-10,4.6034e-10,0.05625
2.025,0.025,0,1,0.5,0,1,0,4.633e-10,4.633e-10,0.05625
2.05,0.025,0,1,0.5,0,1,0,4.6609e-10,4.6609e-10,0.05625
2.075,0.025,0,1,0.5,0,1,0,4.686e-10,4.686e-10,0.05625
2.1,0.025,0,1,0.5,0,1,0,4.7055e-10,4.7055e-10,0.05625
2.125,0.025,0,1,0.5,0,1,0,4.7156e-10,4.7156e-10,0.05625
2.15,0.025,0,1,0.5,0,1,0,4.7359e-10,4.7359e-10,0.05625
2.175,0.025,0,1,0.5,0,1,0,4.7594e-10,4.7594e-10,0.05625
2.2,0.025,0,1,0.5,0,1,0,4.7784e-10,4.7784e-10,0.05625
2.225,0.025,0,1,0.5,0,1,0,4.797e-10,4.797e-10,0.05625
2.25,0.025,0,1,0.5,0,1,0,4.8202e-10,4.8202e-10,0.05625
2.275,0.025,0,1,0.5,0,1,0,4.852e-10,4.852e-10,0.05625
2.3,0.025,0,1,0.5,0,1,0,4.8715e-10,4.8715e-10,0.05625
2.325,0.025,0,1,0.5,0,1,0,4.8812e-10,4.8812e-10,0.05625
2.35,0.025,0,1,0.5,0,1,0,4.903e-10,4.903e-10,0.05625
2.375,0.025,0,1,0.5,0,1,0,4.9428e-10,4.9428e-10,0.05625
2.4,0.025,0,1,0.5,0,1,0,4.9838e-10,4.9838e-10,0.05625
2.425,0.025,0,1,0.5,0,1,0,5.0128e-10,5.0128e-10,0.05625
2.45,0.025,0,1,0.5,0,1,0,5.0395e-10,5.0395e-10,0.05625
2.475,0.025,0,1,0.5,0,1,0,5.0594e-10,5.0594e-10,0.05625
2.5,0.025,0,1,0.5,0,1,0,5.0704e-10,5.0704e-10,0.05625
2.525,0.025,0,1,0.5,0,1,0,5.0998e-10,5.0998e-10,0.05625
2.55,0.025,0,1,0.5,0,1,0,5.1505e-10,5.1505e-10,0.05625
2.575,0.025,0,1,0.5,0,1,0,5.1889e-10,5.1889e-10,0.05625
2.6,0.025,0,1,0.5,0,1,0,5.2164e-10,5.2164e-10,0.05625
2.625,0.025,0,1,0.5,0,1,0,5.2401e-10,5.2401e-10,0.05625
2.65,0.025,0,1,0.5,0,1,0,5.2566e-10,5.2566e-10,0.05625
2.675,0.025,0,1,0.5,0,1,0,5.2757e-10,5.2757e-10,0.05625
2.7,0.025,0,1,0.5,0,1,0,5.2906e-10,5.2906e-10,0.05625
2.725,0.025,0,1,0.5,0,1,0,5.3013e-10,5.3013e-10,0.05625
2.75,0.025,0,1,0.5,0,1,0,5.3177e-10,5.3177e-10,0.05625
2.775,0.025,0,1,0.5,0,1,0,5.3343e-10,5.3343e-10,0.05625
2.8,0.025,0,1,0.5,0,1,0,5.3465e-10,5.3465e-10,0.05625
2.825,0.025,0,1,0.5,0,1,0,5.361e-10,5.361e-10,0.05625
2.85,0.025,0,1,0.5,0,1,0,5.3736e-10,5.3736e-10,0.05625
2.875,0.025,0,1,0.5,0,1,0,5.3854e-10,5.3854e-10,0.05625
2.9,0.025,0,1,0.5,0,1,0,5.4111e-10,5.4111e-10,0.05625
2.925,0.025,0,1,0.5,0,1,0,5.4494e-10,5.4494e-10,0.05625
2.95,0.025,0,1,0.5,0,1,0,5.4795e-10,5.4795e-10,0.05625
2.975,0.025,0,1,0.5,0,1,0,5.4927e-10,5.4927e-10,0.05625
3,0.025,0,1,0.5,0,1,0,5.5099e-10,5.5099e-10,0.05625
3.025,0.025,0,1,0.5,0,1,0,5.5387e-10,5.5387e-10,0.05625
3.05,0.025,0,1,0.5,0,1,0,5.5677e-10,5.5677e-10,0.05625
3.075,0.025,0,1,0.5,0,1,0,5.5889e-10,5.5889e-10,0.05625
3.1,0.025,0,1,0.5,0,1,0,5.5988e-10,5.5988e-10,0.05625
3.125,0.025,0,1,0.5,0,1,0,5.6124e-10,5.6124e-10,0.05625
3.15,0.025,0,1,0.5,0,1,0,5.6362e-10,5.6362e-10,0.05625
3.175,0.025,0,1,0.5,0,1,0,5.6516e-10,5.6516e-10,0.05625
3.2,0.025,0,1,0.5,0,1,0,5.6619e-10,5.6619e-10,0.05625
3.225,0.025,0,1,0.5,0,1,0,5.6869e-10,5.6869e-10,0.05625
3.25,0.025,0,1,0.5,0,1,0,5.7236e-10,5.7236e-10,0.05625
3.275,0.025,0,1,0.5,0,1,0,5.7576e-10,5.7576e-10,0.05625
3.3,0.025,0,1,0.5,0,1,0,5.7741e-10,5.7741e-10,0.05625
3.325,0.025,0,1,0.5,0,1,0,5.784e-10,5.784e-10,0.05625
3.35,0.025,0,1,0.5,0,1,0,5.8013e-10,5.8013e-10,0.05625
